Age,Salary,Expenses,RiskCategory,EmergencyFund,EquityAllocation,FixedIncomeAllocation,GoldAllocation,AdditionalNotes,DirectEquityAllocation,MutualFundAllocation,FDAllocation,RDAllocation,PPFAllocation,NSCAllocation
67,59938,37546,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
46,134277,109884,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
64,114741,79580,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
29,80742,64795,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
31,159797,110840,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
47,113819,79739,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
22,40058,21109,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
58,70426,51381,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
40,114893,88909,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
25,155660,119775,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
35,159383,107776,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
27,68535,54816,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
46,36446,27121,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
46,29419,21695,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
63,82334,65346,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
49,104932,54484,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
34,68118,39312,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
66,132453,73793,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
33,61887,41342,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
26,41260,20887,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
54,124034,89900,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
69,117670,104870,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
25,37426,28080,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
53,119261,95203,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
27,107070,72994,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
44,119697,106335,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
66,81666,67217,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
33,35683,25203,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
66,128154,113591,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
22,55545,43734,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
57,144238,121587,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
35,49213,26488,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
26,98250,69015,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
52,31702,21953,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
47,53058,41084,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
60,92922,60499,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
41,98099,63483,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
51,67364,54662,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
20,148420,113105,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
58,68158,49961,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
39,101501,89739,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
62,105814,59034,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
56,141869,102455,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
43,148579,99844,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
42,79637,64969,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
47,30532,15325,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
47,108051,87601,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
68,51653,34440,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
42,53580,27878,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
62,91535,78608,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
47,89443,56675,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
46,49937,39840,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
29,105687,85142,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
35,108846,73714,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
39,146141,123377,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
64,158778,116629,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
25,84130,66118,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
38,73696,55941,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
50,31085,26158,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
38,120453,68580,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
65,109493,98173,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
66,78578,61328,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
60,138678,123587,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
29,157640,137346,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
65,70167,43406,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
31,122272,63271,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
29,27247,22457,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
42,51348,33063,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
59,76437,49582,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
57,96660,84824,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
20,106057,83418,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
38,120310,61853,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
55,64905,33009,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
59,128026,84684,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
20,98340,55404,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
47,42295,26263,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
32,119788,80692,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
41,87662,65597,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
59,129389,115553,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
62,69452,35997,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
34,26249,16957,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
50,25160,20396,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
69,69478,60326,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
44,144998,89091,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
23,150995,101486,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
24,57397,50545,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
46,127272,72734,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
36,52774,42597,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
56,141527,120620,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
24,143975,91189,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
